localizacion,titulo,descripcion_corta,precio,detalles
Nuevo Cuscatlán," Apartamento en venta en Torre Artea, Nuevo Cuscatlán. #2255","Encuentra en Propi +500 casas y apartamentos en alquiler y venta.
Apartamento en venta en Torre Artea, Nuevo Cuscatlán.
Precio: $295,000.00.
Habitaciones: 3
Baños: 2.5
Tamaño: 121 ...","
$295,000 ","
,
121 m,
,
3,
,
2,
,
2"
San Salvador," Apartamento en venta en Puerta Villa Urbana, Colonia Escalón. #2426","Agenda visita, oferta y venta en Propi.
Precio de venta: $210,000.00
Ubicado en Colonia Escalón, San Salvador.
ID #2426
Apartamento en venta en Las Puertas Villa Urbana, un complejo ...","
$210,000 ","
,
73 m,
,
2,
,
2,
,
2"
Santa Tecla," Ubicada en la prestigiosa Colonia Utila, de la Santa Tecla Antigua.","Ubicada en la prestigiosa Colonia Utila, de la Santa Tecla Antigua. Con corto acceso hacia la carrreterra que conduce al Puerto de La Libertad. Esta casa de dos plantas, recién ...","
$699,999 ","
,
550 m,
,
4,
,
2,
,
3"
Nuevo Cuscatlán," RESIDENCIAL CONDADO NORTE, NUEVO CUSCATLAN, CASAS EN VENTA- PREVENTA","¡Bienvenidos a Residencial Condado Norte!
Ubicado en el corazón de las montañas verdes de Nuevo Cuscatlán, Residencial Condado Norte ofrece un estilo de vida excepcional para ...","
$400,000 ","
,
180 m,
,
4,
,
3,
,
3"
San Salvador, Vendo casa residencial la florida Nuevo Cuscatlán,"** Casa Moderna de 3 Niveles con Preciosa Vista **
**Características:**
**Habitaciones:**
- 5 habitaciones
**Baños:**
- 6 baños
**Áreas Comunes:**
- Sala
- Comedor
- ...","
$570,000 ","
,
1200 m,
,
5,
,
5,
,
6"
San Salvador," VENDO BONIA CASA EN LOTIFICACION LAS PIETAS, LOURDES, COLON","Vendo bonita casa en Lotificación Las Piletas, Lourdes, Colon, zona CON ALTA PLUSVALÍA EN ASCENSO a 10 min de Metrocentro Lourdes.
Si buscas vivir un poquito alejado de la ciudad ...","
$49,900 ","
,
45 m,
,
2,
,
2,
,
1"
La Paz, Iguana Residences - Compra casa nueva en Costa del Sol,"Descubra una comunidad de lujo y tranquilidad en nuestro exclusivo complejo de villas de playa en El Salvador. Situado en una prestigiosa colonia cerrada, cada villa garantiza ...","
$374,900 ","
,
142 m,
,
4,
,
4"
Cuscatlán, PRECIOSA CASA EN VENTA,"Llamadas/WhatsApp
$108,000 poco negociables
-Sala Independiente (Con aire acondicionado)
-Comedor Independiente
-Cocina Amueblada (Pantry)
-Area de servicio independiente
-2 ...","
$108,000 ","
,
112 m,
,
2,
,
3,
,
2"
San Salvador," Apartamento en venta en Condominio San Francisco Tower, Colonia San Francisco. #2466","Encuentra en Propi +500 casas y apartamentos en alquiler y venta.
Apartamento en venta en Condominio San Francisco Tower, Colonia San Francisco.
Precio: $220,000.00.
Habitaciones: ...","
$220,000 ","
,
74 m,
,
2,
,
1,
,
2"
La Paz, Comalapa Flats - Venta de casas en planos.,"Ubicados en San Cristóbal II a solo minutos del Aeropuerto de El Salvador. Estas casas en planos ofrecen un estilo de vida conveniente y moderno, cercano a super mercados, hoteles, ...","
$249,500 ","
,
180 m,
,
3,
,
4"
San Salvador," Apartamento en venta en Altos Tower, Colonia Escalón. #2430","Agenda visita, oferta y venta en Propi.
Precio de venta: $295,000.00
Ubicado en Colonia Escalón, San Salvaddor.
ID #2430
Un exclusivo apartamento en la prestigiosa Altos Tower, ...","
$295,000 ","
,
107 m,
,
3,
,
2,
,
3"
San Salvador, CASA LOMAS DE SAN FRANCISCO ULTIMO PRECIO 299 000 USD,"Casa de 3 dormitorios 2 baños, area de servicio completa, terraza, parqueo 4 carros.","
$299,000 ","
,
237 m,
,
3,
,
2,
,
2"
Santa Ana, Venta Casa Santa Ana PRIVADO 3 dormitorios / área de servicio,"Se vende casa en residencial privado Lotificación El Bosque, abajo de Metrocentro Santa Ana, construída en el año 2017, bien mantenida, con pisos cerámicos, cielo raso de tabla roca ...","
$180,000 ","
,
174 m,
,
4,
,
2,
,
3"
Santa Tecla, Mirá Apartamentos - Venta de apartamento en planos,"Ubicados en Santa Tecla, un lugar seguro donde es posible idear, crecer y compartir para inspirar un mejor futuro juntos. Estos apartamentos en planos ofrecen un estilo de vida ...","
$228,000 ","
,
87 m,
,
3,
,
2,
,
2"
Santa Tecla," CASA ESTILO COLONIAL EN RESIDENCIAL PALMIRA, SANTA TECLA","Espectacular casa estilo colonial en la exclusiva Residencial Palmira en Santa Tecla.
La propiedad cuenta con un diseño cuidadosamente elaborado para dar un ambiente de elegante ...","
$1,400,000 ","
,
770 m,
,
5,
,
10,
,
5"
