location,title,short_description,price,square_meters,bedrooms,parking,bathroom,cluster,latitude,longitude
nuevo cuscatlán," apartamento en venta en torre artea, nuevo cuscatlán. #2255","encuentra en propi +500 casas y apartamentos en alquiler y venta. apartamento en venta en torre artea, nuevo cuscatlán. precio: $295,000.00. habitaciones: 3 baños: 2.5 tamaño: 121 ...",295000,121.0,3,2,2,0,13.649671,-89.26810189999999
san salvador," apartamento en venta en puerta villa urbana, colonia escalón. #2426","agenda visita, oferta y venta en propi. precio de venta: $210,000.00 ubicado en colonia escalón, san salvador. id #2426 apartamento en venta en las puertas villa urbana, un complejo ...",210000,102.67469879518072,2,2,2,0,13.6929403,-89.2181911
santa tecla," ubicada en la prestigiosa colonia utila, de la santa tecla antigua.","ubicada en la prestigiosa colonia utila, de la santa tecla antigua. con corto acceso hacia la carrreterra que conduce al puerto de la libertad. esta casa de dos plantas, recién ...",699999,550.0,4,2,3,1,13.6757837,-89.2894733
nuevo cuscatlán," residencial condado norte, nuevo cuscatlan, casas en venta- preventa","¡bienvenidos a residencial condado norte! ubicado en el corazón de las montañas verdes de nuevo cuscatlán, residencial condado norte ofrece un estilo de vida excepcional para ...",400000,180.0,4,3,3,0,13.649671,-89.26810189999999
san salvador, vendo casa residencial la florida nuevo cuscatlán,  casa moderna de 3 niveles con preciosa vista    características:   habitaciones:  - 5 habitaciones  baños:  - 6 baños  áreas comunes:  - sala - comedor - ...,570000,1200.0,5,5,6,2,13.6929403,-89.2181911
san salvador," vendo bonia casa en lotificacion las pietas, lourdes, colon","vendo bonita casa en lotificación las piletas, lourdes, colon, zona con alta plusvalía en ascenso a 10 min de metrocentro lourdes. si buscas vivir un poquito alejado de la ciudad ...",49900,102.67469879518072,2,2,1,0,13.6929403,-89.2181911
la paz, iguana residences - compra casa nueva en costa del sol,"descubra una comunidad de lujo y tranquilidad en nuestro exclusivo complejo de villas de playa en el salvador. situado en una prestigiosa colonia cerrada, cada villa garantiza ...",374900,142.0,4,4,1,0,13.495364,-88.9796776
cuscatlán, preciosa casa en venta,"llamadas/whatsapp $108,000 poco negociables -sala independiente (con aire acondicionado) -comedor independiente -cocina amueblada (pantry) -area de servicio independiente -2 ...",108000,112.0,2,3,2,0,13.8661957,-89.0561532
san salvador," apartamento en venta en condominio san francisco tower, colonia san francisco. #2466","encuentra en propi +500 casas y apartamentos en alquiler y venta. apartamento en venta en condominio san francisco tower, colonia san francisco. precio: $220,000.00. habitaciones: ...",220000,102.67469879518072,2,1,2,0,13.6929403,-89.2181911
la paz, comalapa flats - venta de casas en planos.,"ubicados en san cristóbal ii a solo minutos del aeropuerto de el salvador. estas casas en planos ofrecen un estilo de vida conveniente y moderno, cercano a super mercados, hoteles, ...",249500,180.0,3,4,1,0,13.495364,-88.9796776
